	compound	negative	neutral	org	positive	text	tweets_ago
14	0.0	0.0	1.0	BBCNews	0.0	"RT @BBCSport: Full time!

Southampton 1-1 Arsenal.

A late goal by substitute Olivier Giroud earns Arsenal a point.

Manager reaction here:…"	15
15	0.0	0.0	1.0	BBCNews	0.0	RT @bbcweather: Latest official snow depths. Matt https://t.co/wS22lMk5MX	16
16	0.0	0.0	1.0	BBCNews	0.0	RT @bbcweather: Latest rain and #uksnow radar. Matt https://t.co/tbCweypX42	17
17	0.0762	0.0	0.944	BBCNews	0.056	The UK will not pay any money to the EU if it leaves without a trade deal, according to Brexit Secretary David Davi… https://t.co/FbQlNJH76B	18
18	-0.34	0.211	0.789	BBCNews	0.0	Grenfell Tower fire: Equality watchdog EHRC to launch inquiry https://t.co/gxxaDvSX8R	19
19	-0.0772	0.084	0.843	BBCNews	0.072	RT @bbcweather: Tonight: A #cold and #frosty night for many with a significant risk of #ice in places that have seen #rain, #sleet &amp; #snow…	20
20	0.0516	0.0	0.941	BBCNews	0.059	"RT @BBCWorld: ""It's actually the stuff of nightmares."" 

The Australian town that's been overwhelmed by an invasion of bats. https://t.co/R…"	21
21	0.0	0.0	1.0	BBCNews	0.0	"RT @BBC_HaveYourSay: Can you beat these photos of the snow across the UK? Send us your snaps!

❄️⛄️🌨

https://t.co/TizrecpJ7c"	22
22	-0.4939	0.348	0.652	BBCNews	0.0	Jailed Max Clifford dies, aged 74 https://t.co/Kh27ZuXUDG	23
23	0.0	0.0	1.0	BBCNews	0.0	RT @BBCWorld: How long can a BBC reporter stay hidden from CCTV cameras in China? @TheJohnSudworth has been given rare access to put the wo…	24
24	-0.25	0.222	0.778	BBCNews	0.0	Lincoln Christmas market cancelled due to snow https://t.co/uyK6s1KUog	25
25	0.5994	0.0	0.781	BBCNews	0.219	"RT @bbc5live: Children as young as 10 are buying energy drinks, saying they want to ""fit in"" or ""look tough"".

Research by @fuse_online als…"	26
26	-0.2003	0.165	0.744	BBCNews	0.091	"RT @daily_politics: ""We were never going to solve this in the first phase"" - admits Northern Ireland Secretary @JBrokenshire on avoiding a…"	27
27	-0.5106	0.215	0.717	BBCNews	0.067	RT @BBCEngland: Heavy snow is causing widespread travel problems, with motorists warned to think carefully before setting out https://t.co/…	28
28	-0.6908	0.213	0.787	BBCNews	0.0	"RT @BBCSport: The #uksnow has hit sporting events across the country - with football and racing the worst affected. 

Stay up to date: http…"	29
29	0.0	0.0	1.0	BBCNews	0.0	"❄️ Heavy snowfall hits parts of the UK ❄️

For the latest updates: https://t.co/9GRCDjdRjr https://t.co/xprhSxmWkk"	30
30	0.0	0.0	1.0	BBCNews	0.0	Brexit: May's EU deal not binding, says David Davis https://t.co/SRJxiZZFPC	31
31	-0.296	0.128	0.872	BBCNews	0.0	"RT @MarrShow: ""No deal means we won't be paying money"" to EU - @DavidDavisMP tells #marr https://t.co/Q2XtRYJz21"	32
32	0.25	0.0	0.905	BBCNews	0.095	"""Canada plus, plus, plus"" - Brexit secretary David Davis outlines his vision of the deal he wants with the EU… https://t.co/30pLOWzCCw"	33
33	0.3818	0.0	0.894	BBCNews	0.106	RT @bbcweather: It's clear to see where the #snow is across the country looking at the latest snow &amp; rain radar. Stav D https://t.co/dz0mtP…	34
34	0.0772	0.0	0.939	BBCNews	0.061	RT @ChrisMasonBBC: If you're watching #Marr and want to get to the bottom of sectoral analyses / impact assessments stuff, @bbclaurak offer…	35
35	-0.743	0.558	0.442	BBCNews	0.0	Jailed Max Clifford has heart attack https://t.co/s6FtJZP3tu	36
36	0.3818	0.0	0.89	BBCNews	0.11	RT @MarrShow: Shadow Brexit Secretary @Keir_Starmer says Labour have been clear that it wants to retain 'benefits' of being inside the sing…	37
37	0.0	0.0	1.0	BBCNews	0.0	RT @MarrShow: Hollywood writer &amp; director Aaron Sorkin has described Donald Trump’s decision to recognise Jerusalem as the capital of Israe…	38
38	-0.2732	0.093	0.856	BBCNews	0.051	RT @MarrShow: SNP want Labour to get behind them and argue to remain in the single market and customs union - @IanBlackfordMP tells #marr h…	39
39	0.0	0.0	1.0	BBCNews	0.0	"""I think that's the right thing"" - shadow Brexit secretary Keir Starmer says UK must stay close to EU's single mark… https://t.co/M6nWudPM7X"	40
40	0.0	0.0	1.0	BBCNews	0.0	RT @MarrShow: .@IanBlackfordMP says both sides in the referendum campaign did not say Britain will be leaving the single market after Brexi…	41
41	0.0	0.0	1.0	BBCNews	0.0	RT @BBCClick: You won't believe your eyes. Watch how visual effects artists brought Paddington to life https://t.co/DeMgQuYLha	42
42	-0.296	0.099	0.901	BBCNews	0.0	"RT @bbc5live: It was the premiere of #StarWars #TheLastJedi in LA overnight.

Showbiz journalist Simon Thompson teases what fans can expect…"	43
43	-0.25	0.087	0.913	BBCNews	0.0	"RT @BBCWorld: ""This is a planetary crisis... we are ruining the ecosystem of the ocean.""

Seven charts that explain the plastic pollution p…"	44
44	0.0	0.0	1.0	BBCNews	0.0	"Up to 20cm of snow could fall in some parts of the UK. ❄️

The Met Office has issued an amber weather warning… https://t.co/HGXNk0THh5"	45
45	-0.3612	0.263	0.584	BBCNews	0.153	Teachers call for ban on energy drinks in schools https://t.co/ExfsbxlnCG	46
46	-0.296	0.268	0.732	BBCNews	0.0	Singer Chris Rea collapses on stage https://t.co/AndjT3jF6l	47
47	0.5719	0.0	0.709	BBCNews	0.291	James DeGale v Caleb Truax: American wins IBF super-middleweight title https://t.co/xn3BehnywW	48
48	0.0	0.0	1.0	BBCNews	0.0	Johnson to meet Iranian president on second day of talks https://t.co/iHBY3zK4Fo	49
49	0.0	0.0	1.0	BBCNews	0.0	Brexit: MPs call for 'meaningful' Commons vote https://t.co/iVyITDEChG	50
50	-0.34	0.231	0.769	BBCNews	0.0	UK snow: Amber warning predicts snow across UK https://t.co/UiLRG54yyL	51
51	0.34	0.0	0.769	BBCNews	0.231	Derek Mackay offers assurances over Scottish budget plans https://t.co/MbxXub5JNM	52
52	-0.296	0.268	0.732	BBCNews	0.0	Two-year degrees to lower tuition fees https://t.co/kGjLlaK81l	53
53	0.0	0.0	1.0	BBCNews	0.0	Carl Sargeant's son in Alyn and Deeside by-election bid https://t.co/fS5iCE8hoH	54
54	-0.8201	0.319	0.681	BBCNews	0.0	'My dad was controlling but I didn't think he could kill my mother and sister' https://t.co/Qjj1RAxvcC	55
55	-0.5994	0.189	0.811	BBCNews	0.0	RT @bbcweather: Area covered by a Met Office AMBER weather warning indicates the area most likely *at the moment* to see disruption from he…	56
56	0.0	0.0	1.0	BBCNews	0.0	#Brexit: What still needs to be worked out? https://t.co/FN5H8LLZUK https://t.co/WpZMGjlvxw	57
57	-0.126	0.14	0.741	BBCNews	0.119	"RT @BBCSport: It’s a 7️⃣th UK Championship final for Ronnie O'Sullivan!

The Rocket defeated Stephen Maguire in the semi-final.

Full repor…"	58
58	0.0	0.0	1.0	BBCNews	0.0	Johnson holds 'frank' talks in Iran https://t.co/2GlG6tB7Ym	59
59	-0.5994	0.245	0.755	BBCNews	0.0	Two young Devon men die after 'taking drugs at Plymouth Pryzm nightclub' https://t.co/lmJiazOVw5	60
60	0.3182	0.0	0.901	BBCNews	0.099	RT @bbcstories: These teachers are putting their hands in their own pockets to increase their pupils’ attendance by turning spare change in…	61
61	0.7088	0.0	0.763	BBCNews	0.237	"RT @BBCSport: Bradley Wiggins in a boat?!

The five-time Olympic cycling champion made his competitive rowing debut at the British Indoor C…"	62
62	0.0	0.0	1.0	BBCNews	0.0	Man stripped in 50-hour kidnap ordeal in Thornton Heath https://t.co/RKgwm7FQiT	63
63	0.5719	0.0	0.709	BBCNews	0.291	Motorcyclist clocked at 101mph on Rest and Be Thankful https://t.co/xxMn1W3HQ3	64
64	-0.5994	0.358	0.642	BBCNews	0.0	Coventry hospital changes procedures after woman's death https://t.co/DQz7zLp6ss	65
65	-0.6808	0.456	0.375	BBCNews	0.169	Horsham woman 'ran screaming' for help after rape https://t.co/RpxYBZAHJN	66
66	-0.5994	0.189	0.811	BBCNews	0.0	RT @bbcweather: Area covered by a Met Office AMBER weather warning indicates the area most likely *at the moment* to see disruption from he…	67
67	-0.3939	0.123	0.877	BBCNews	0.0	RT @BBCPolitics: #BarnierBants?... has the lack of sleep finally got to @adamfleming? Listen to our 🇬🇧 #Brexitcast 🇪🇺 podcast 🎧 https://t.c…	68
68	0.0	0.0	1.0	BBCNews	0.0	"RT @BBCSport: The snow has hit Scottish football, with one game in England also off.

Stay up to date: https://t.co/ooFS8fDH90 https://t.co…"	69
69	0.0	0.0	1.0	BBCNews	0.0	"RT @BBCSport: Ben Duckett was dropped after pouring a drink over another player in a Perth bar.

Trevor Bayliss says he's fed up of answeri…"	70
70	-0.5688	0.182	0.818	BBCNews	0.0	RT @bbcweather: Areas most at risk of seeing heavy and disruptive #snow early Sunday morning will be The Midlands, Wales and N England with…	71
71	0.0	0.0	1.0	BBCNews	0.0	"RT @bbcworldservice: Meet the 'Godfather of Coral' - he's 72 and still diving...
More ocean stories here: https://t.co/rSuH8OsVe6 https://t…"	72
72	0.4939	0.0	0.686	BBCNews	0.314	Why British Muslims care about Jerusalem https://t.co/Ui4sKUUeBU https://t.co/9asnrFfPtR	73
73	0.0	0.0	1.0	BBCNews	0.0	RT @BBCTech: Calls for Twitch to police 'sexual streaming' https://t.co/LCXB3CFXex	74
74	-0.296	0.155	0.845	BBCNews	0.0	RT @BBCScienceNews: Dying mother starts petition to lower age of breast screening https://t.co/QiuCc3ZRFW	75
75	-0.4588	0.12	0.88	BBCNews	0.0	"RT @BBCSport: England's troubled tour has taken another turn. 

Ben Duckett has been involved in an incident in a Perth bar - the same day…"	76
76	0.0	0.0	1.0	BBCNews	0.0	RT @BBCArchive: #OnThisDay 1934: Dame Judi Dench was born in Heworth. https://t.co/ZxiV5xMyGv	77
77	0.0	0.0	1.0	BBCNews	0.0	RT @BBCBusiness: Would you be a farmer? #bbcfoodchain https://t.co/WXekNjI1Xb	78
78	0.2732	0.0	0.9	BBCNews	0.1	RT @BBCEngland: A Lego-mad couple are using 350,000 bricks to create an 8ft (2.4m) doll's house in their Cambridgeshire lounge 👀 https://t.…	79
79	0.0	0.0	1.0	BBCNews	0.0	RT @BBCBusiness: Why do animals keep popping up in the financial world? Take a look at our Business Bestiary. The full A-Z of Business Anim…	80
80	0.296	0.0	0.82	BBCNews	0.18	Thousands to join Sleep in the Park event in Edinburgh https://t.co/dBu75i9dsU	81
81	0.0	0.0	1.0	BBCNews	0.0	Ashes: Ben Duckett dropped from England tour game after Perth bar incident https://t.co/5JvcAC9oR7	82
82	0.0	0.0	1.0	BBCNews	0.0	Brexit: Michael Gove says UK voters can change final deal https://t.co/Dfn5uyMetY	83
83	0.4404	0.0	0.756	BBCNews	0.244	Grammar schools 'contrary to common good' - Archbishop of Canterbury https://t.co/B2eQXTw29l	84
84	0.0	0.0	1.0	BBCNews	0.0	Nazanin Zaghari-Ratcliffe: Boris Johnson set for talks in Iran https://t.co/gyFhyJJ6pi	85
85	0.0772	0.0	0.885	BBCNews	0.115	'Come out in class - if you want to', teachers urged https://t.co/zzNANUrfOw	86
86	0.6124	0.0	0.643	BBCNews	0.357	"Saturday's Express: ""Huge Brexit boost at last"" (via @hendopolis) #tomorrowspaperstoday https://t.co/DjTHu85JFx"	87
87	-0.1531	0.103	0.897	BBCNews	0.0	"Saturday's Guardian: ""Deal is done but EU warns of more delays"" (via @hendopolis) #tomorrowspaperstoday https://t.co/OhXo4axRB5"	88
88	0.0	0.0	1.0	BBCNews	0.0	"Saturday's Mirror: ""Mrs Softee"" (via @hendopolis) #tomorrowspaperstoday https://t.co/XyZ8IZD1Q4"	89
89	-0.4767	0.237	0.763	BBCNews	0.0	"Saturday's Sun: ""Glass attack on TV Kat"" (via @hendopolis) #tomorrowspaperstoday https://t.co/jzP6tjY65d"	90
90	0.0	0.0	1.0	BBCNews	0.0	Stormzy is BBC Music's artist of the year https://t.co/SHu3XDHwZ4	91
91	0.6369	0.0	0.682	BBCNews	0.318	"Saturday's Telegraph: ""The price of freedom"" (via @hendopolis) #tomorrowspaperstoday https://t.co/GsSsEFqwtF"	92
92	0.0	0.0	1.0	BBCNews	0.0	"Saturday's Times: ""May bounces back"" (via @hendopolis) #tomorrowspaperstoday https://t.co/Iv7oRYCGof"	93
93	0.0	0.0	1.0	BBCNews	0.0	"Saturday's Independent: ""So, 18 months after the Brexit vote...."" (via @hendopolis) #tomorrowspaperstoday https://t.co/UOZoy4Gii7"	94
94	0.0	0.0	1.0	BBCNews	0.0	"Saturday's i: ""Britain sets course for soft Brexit"" (via @hendopolis) #tomorrowspaperstoday https://t.co/Ka8PTyLD69"	95
95	0.0	0.0	1.0	BBCNews	0.0	"Saturday's Mail: ""Rejoice! We’re on our way"" (via @hendopolis) #tomorrowspaperstoday https://t.co/hqj378KctA"	96
96	-0.3818	0.265	0.735	BBCNews	0.0	"Saturday's FT: ""May warned on tough choices ahead"" (via @hendopolis) #tomorrowspaperstoday https://t.co/5yzHXrXb8y"	97
97	0.2023	0.103	0.735	BBCNews	0.162	"Saturday's Morning Star: ""Thousands join council pay pickets"" (via @hendopolis) #tomorrowspaperstoday https://t.co/i45PzoMInD"	98
98	0.0	0.0	1.0	BBCNews	0.0	M5 at standstill in Devon because of 'man on bridge' https://t.co/nEnCzSlCxv	99
99	-0.4767	0.341	0.659	BBCNews	0.0	Jail for cleaning fluid attack robbers https://t.co/zcqJwKJAwQ	100
100	0.2732	0.126	0.669	CBSNews	0.204	When a deer got trapped in the middle of a frozen pond in Oregon, firefighters rushed to the rescue, helping it shu… https://t.co/LI4s6ER60u	1
101	0.3612	0.0	0.884	CBSNews	0.116	A rare snow made parts of the South look like a winter wonderland this weekend, with some areas getting their first… https://t.co/YQnbwA4bC5	2
102	0.0	0.0	1.0	CBSNews	0.0	".@VP spokesperson says it's ""unfortunate"" Palestinian President Mahmoud Abbas won't meet with Vice President Mike P… https://t.co/t5P751PIct"	3
103	-0.5719	0.19	0.736	CBSNews	0.074	Houston cancer researcher is speaking out after she was kicked off a Spirit Airlines flight along with her two-year… https://t.co/Ceytkil3NS	4
104	-0.128	0.086	0.914	CBSNews	0.0	"If Moore is elected, Collins says senators will face ""tough decision"" on overturning Ala. voters (via… https://t.co/YtDx8XFBh9"	5
105	0.3612	0.0	0.884	CBSNews	0.116	Like many people in Southern California, Julie and Don Myers had to evacuate during the wildfires, leaving behind v… https://t.co/4WvthxDmDo	6
106	0.0	0.0	1.0	CBSNews	0.0	Most Alabama Republican leaders say they plan to vote for Roy Moore on Tuesday despite sexual misconduct allegation… https://t.co/ns19jEz2QC	7
107	0.34	0.0	0.876	CBSNews	0.124	Scores of Lebanese and Palestinian demonstrators clashed with security forces and burned flags outside the U.S. Emb… https://t.co/XcIQvf7WIg	8
108	-0.7717	0.372	0.628	CBSNews	0.0	Sen. Dick Durbin says no political calculation in Democrats' calls for Franken's resignation (via @FaceTheNation)… https://t.co/548PTWtC3Z	9
109	0.6808	0.0	0.752	CBSNews	0.248	Missouri woman wins lottery twice in one day, from a Monopoly scratch-off ticket and later with a ticket worth much… https://t.co/Y5xYFkQaBu	10
110	0.0	0.0	1.0	CBSNews	0.0	.@CBSEveningNews anchor @JeffGlor to interview French President Emmanuel Macron on Monday, Dec. 11. The interview w… https://t.co/SLKoWMeSH1	11
111	0.0	0.0	1.0	CBSNews	0.0	The rehab program that puts alcoholic pilots back in the cockpit (via @CBSSunday) https://t.co/g2NGmfDmYu https://t.co/V6ne8ihBHu	12
112	-0.2023	0.101	0.899	CBSNews	0.0	"Nikki Haley on Trump accusers: Women who accuse anyone ""should be heard"" and ""dealt with"" https://t.co/2vYwHgMbiG https://t.co/Pa6qpWOegH"	13
113	0.0	0.0	1.0	CBSNews	0.0	@CBSEveningNews anchor @JeffGlor to interview French President Emmanuel Macron on Monday, Dec. 11. The interview wi… https://t.co/UDOIqnLTbH	14
114	-0.9061	0.399	0.601	CBSNews	0.0	A South Carolina serial killer convicted of killing seven people says he has more victims who have not been discove… https://t.co/Wh01mdllbu	15
115	0.5574	0.0	0.806	CBSNews	0.194	"Early praise for ""The Last Jedi"" after jam-packed world premiere Saturday night in Los Angeles… https://t.co/l6wnI0DQtN"	16
116	0.4939	0.0	0.862	CBSNews	0.138	After a Bel Air mansion burned to the ground, this artist was touched that firefighters were able to save his prize… https://t.co/hv5HZxYASh	17
117	0.3612	0.0	0.878	CBSNews	0.122	"""Very abnormal"" December snowfall in the Deep South now dealing with its after-effects like power outages and freez… https://t.co/AjMssZIO5U"	18
118	-0.4767	0.147	0.853	CBSNews	0.0	Three people have been arrested for allegedly throwing firebombs at a synagogue in the Swedish city of Goteborg, th… https://t.co/Al3i2zzC0h	19
119	0.34	0.0	0.876	CBSNews	0.124	Scores of Lebanese and Palestinian demonstrators clashed with security forces outside the U.S. Embassy in Beirut ov… https://t.co/jSqQvPehC1	20
120	0.2023	0.0	0.893	CBSNews	0.107	"Patrick Stewart says he's open to playing Jean-Luc Picard in Tarantino's ""Star Trek"" movie https://t.co/kCbaA9mA5D https://t.co/BCJSkYuVyf"	21
121	0.0	0.0	1.0	CBSNews	0.0	"John Thune says Roy Moore will be under ""ethics cloud"" if elected Tuesday https://t.co/cDTDZnmQXU https://t.co/CvA2O0QCuq"	22
122	0.0	0.0	1.0	CBSNews	0.0	California inducts nation's first all-LGBT city council https://t.co/x5ohmIeBj5 https://t.co/xN5yQoy7Y7	23
123	-0.296	0.222	0.633	CBSNews	0.146	"Anita Hill: ""Huge moment"" against sexual harassment needs to continue https://t.co/xhxm9Tb4Az https://t.co/ypOYm5Ow2e"	24
124	0.0	0.0	1.0	CBSNews	0.0	"Preschool ""twins"" take a stand against discrimination https://t.co/Rl3T5VRctP https://t.co/9xUpWKhAzt"	25
125	0.0	0.0	1.0	CBSNews	0.0	Paralyzed in Las Vegas shooting, one man learns how to navigate life differently https://t.co/G50fswswpZ https://t.co/gbIFBlKdyY	26
126	0.34	0.0	0.806	CBSNews	0.194	Demonstrators, security forces clash outside U.S. Embassy in Beirut https://t.co/NzGZ8YcOto https://t.co/a87dc2MDm5	27
127	0.0	0.0	1.0	CBSNews	0.0	Massive storm system brings record snowfall to the South https://t.co/uS9WzZWknA https://t.co/yjORMBpUd7	28
128	-0.4767	0.279	0.721	CBSNews	0.0	Former Sen. Brian Joyce arrested after federal indictment https://t.co/ECUj1YjFxY	29
129	-0.5423	0.226	0.774	CBSNews	0.0	"Judd Apatow: Sexual harassment revelations will involve ""enormous"" amount of people https://t.co/fxkhL6AEYb https://t.co/4jq82VA4Pc"	30
130	-0.6705	0.29	0.71	CBSNews	0.0	Missouri man allegedly killed toddler who wouldn't put on pajamas https://t.co/jKlDRypTO7 https://t.co/6T1TaLAqGa	31
131	-0.6908	0.299	0.701	CBSNews	0.0	Woman burns down Cincinnati, Ohio, home trying to kill bedbugs https://t.co/xC197hKDzW https://t.co/9dTXITwgO4	32
132	-0.6597	0.286	0.714	CBSNews	0.0	Oklahoma prosecutor declines to charge cop in deaf man's killing https://t.co/VxR4kSFYHo https://t.co/3VZo0wfiUg	33
133	0.0	0.0	1.0	CBSNews	0.0	Why the end may be near for bitcoin, but just maybe https://t.co/yjjJSwVAdO https://t.co/6qHYv7Z0FJ	34
134	-0.6808	0.337	0.663	CBSNews	0.0	California fire damage to homes is less random than it seems https://t.co/4u2GoNsMBt https://t.co/zgPfCms1bW	35
135	0.0	0.0	1.0	CBSNews	0.0	President Trump on Saturday toured and delivered brief remarks at the opening of the Mississippi Civil Rights Museu… https://t.co/BckA2cQOdD	36
136	0.0	0.0	1.0	CBSNews	0.0	At 21 years old, West Point's Simone Askew is the first African-American woman selected to serve as first captain o… https://t.co/RfPeYjVcoB	37
137	0.0129	0.0	0.935	CBSNews	0.065	Athletes are turning to pickle juice to prevent cramps, but how does it work? https://t.co/j2zgl85Rkg https://t.co/ZIpKGD8z8R	38
138	0.0	0.0	1.0	CBSNews	0.0	"Shohei Ohtani, ""Japan's Babe Ruth,"" to sign with Los Angeles Angels https://t.co/M5Uiz1E3Nt https://t.co/QUS9dSEHi1"	39
139	0.0	0.0	1.0	CBSNews	0.0	Fewer than half of 41 million recalled Takata air bags have been replaced https://t.co/CDMy6VMjUg https://t.co/c9kN7RVlu9	40
140	0.3085	0.08	0.772	CBSNews	0.149	President Trump didn't invite Democrats in Congress to the White House Hanukkah party, reports say… https://t.co/A1qymhF64z	41
141	0.0	0.0	1.0	CBSNews	0.0	George Papadopoulos' fiancée says he was in contact with Bannon, Flynn during campaign https://t.co/yijuoUSJUB https://t.co/NCT1I3bWcn	42
142	0.6597	0.0	0.565	CBSNews	0.435	How nondisclosure agreements encourage a culture of silence https://t.co/jSTYiPzVEC https://t.co/0KIZ5KMEwv	43
143	0.0258	0.0	0.922	CBSNews	0.078	"Sen. John Thune says Republican National Committee backing Roy Moore is ""unfortunate"" https://t.co/3bSCxLJ3PR https://t.co/r6zHchVL4z"	44
144	-0.5267	0.313	0.522	CBSNews	0.165	Ex-priest guilty of killing Texas beauty queen in 1960 after hearing her confession https://t.co/efHNkEcq91 https://t.co/17p6Femimk	45
145	0.0	0.0	1.0	CBSNews	0.0	Local news anchor responds on-air to email calling her a racial slur https://t.co/wmYBGcBNI9 https://t.co/t5SbhNnvA0	46
146	-0.5106	0.231	0.769	CBSNews	0.0	Fat squirrel steals chocolate, lip balm left for delivery people https://t.co/Tgsua5dUkQ https://t.co/ihfVBoITjZ	47
147	0.3089	0.0	0.861	CBSNews	0.139	"At Pensacola rally, Pres. Trump says country ""can't afford"" to lose a Senate seat https://t.co/ZK6MzNYxWf https://t.co/Yr8Cnk4Uo6"	48
148	0.4215	0.0	0.823	CBSNews	0.177	74-year-old substitute teacher and custodian saved lives in Aztec school shooting, sheriff says… https://t.co/TmRCxEpVAL	49
149	0.0	0.0	1.0	CBSNews	0.0	Dina Powell, senior Trump adviser, leaving White House early next year https://t.co/SW0VJ2Qwxd https://t.co/ZSQsZVPYvv	50
150	-0.6369	0.318	0.682	CBSNews	0.0	Southern California wildfires still smoldering after hellish week https://t.co/8aqvH698wB https://t.co/oM0AEY4WkO	51
151	0.0	0.0	1.0	CBSNews	0.0	Boston Herald files for bankruptcy and will be sold https://t.co/iFPnr9tz66 https://t.co/hezSfZwLyH	52
152	0.3612	0.0	0.848	CBSNews	0.152	Slovenian magazine apologizes to Melania Trump for suggesting she worked as high-end escort https://t.co/NwcXqZStEN https://t.co/ICxwq6I04E	53
153	-0.5267	0.253	0.747	CBSNews	0.0	Drunk driver didn't realize she had traffic sign stuck in sunroof, police say https://t.co/6ixe5TgMT8 https://t.co/hgPJCmVIOP	54
154	0.0	0.0	1.0	CBSNews	0.0	Arkansas resumes issuing birth certificates after judge halted program https://t.co/lgkCQjRnxn https://t.co/JTlumjlGxb	55
155	-0.6705	0.314	0.686	CBSNews	0.0	Missing New Jersey mom Shanaya Coley was likely abducted, according to authorities https://t.co/WRhO6C6jz6 https://t.co/9j2TPtFVAN	56
156	0.0	0.0	1.0	CBSNews	0.0	Aztec high school gunman posed as student; thumb drive may reveal motive: officials https://t.co/wlnzKuoBoG https://t.co/DrPjP5eVsb	57
157	-0.34	0.156	0.844	CBSNews	0.0	Governor Brown criticizes President Trump for climate change position as California burns https://t.co/W5qgjABl7U https://t.co/WEkLALfOrI	58
158	0.0	0.0	1.0	CBSNews	0.0	Egypt discovers 3,500-year-old tombs in ancient city of Luxor https://t.co/6yfwzV9sO2 https://t.co/POICLgIt89	59
159	-0.6486	0.281	0.719	CBSNews	0.0	1 adult, 2 children dead in apparent murder-suicide in Texas, police say https://t.co/6453WgDBwm https://t.co/nmYeso7DIu	60
160	0.0	0.0	1.0	CBSNews	0.0	Roy Moore accuser says she added notes to his yearbook inscription https://t.co/ZZsT5Dagqo https://t.co/Gr1rkcc6ig	61
161	-0.7269	0.466	0.534	CBSNews	0.0	84-year-old Pennsylvania man fatally shoots suspected burglar https://t.co/INaFzam8lC https://t.co/3uMrA1Ee9t	62
162	-0.6705	0.407	0.593	CBSNews	0.0	Director Bryan Singer accused of sexually assaulting teen https://t.co/ZBzZrp9V1K https://t.co/1hhdCAXdjl	63
163	-0.228	0.148	0.852	CBSNews	0.0	"John Boyega almost missed ""Last Jedi"" premiere due to snow https://t.co/8bRo6cymr5 https://t.co/Vom5tvII8m"	64
164	0.0	0.0	1.0	CBSNews	0.0	Climate change will change how you eat https://t.co/jdqlplmgCL https://t.co/du7XNnOZTh	65
165	0.5574	0.0	0.753	CBSNews	0.247	"J.K. Rowling stands by Johnny Depp's casting in ""Fantastic Beasts"" https://t.co/t9orKk9wQG https://t.co/EDDXlNjX5k"	66
166	-0.7717	0.358	0.642	CBSNews	0.0	2 dead after small plane crashes into San Diego house, fire officials say https://t.co/SpMqoOwMB3 https://t.co/lzxtPJpcyF	67
167	0.0	0.152	0.696	CBSNews	0.152	Prosecutors secure Paul Manafort's edits for op-ed while under house arrest https://t.co/JB1qdn7uIM https://t.co/Y9Vo8aBI0R	68
168	-0.3182	0.204	0.796	CBSNews	0.0	Aztec High School shooting: Police ID student victims https://t.co/9wtIVbHyXQ https://t.co/dp2ejW7FIN	69
169	0.0	0.0	1.0	CBSNews	0.0	Northeast bracing for first major snow storm of the season https://t.co/DLFxD5QQPm	70
170	-0.7841	0.385	0.615	CBSNews	0.0	Todd Kohlhepp, South Carolina serial killer, says he has more victims https://t.co/6b7b8LNxqi https://t.co/UMxxeU6xiD	71
